arm,role,size,selection class,scale,per-seed accuracies,mean accuracy,seed SD,dispersion
B1,LM-free reference,none,BEST_ON_DEVELOPMENT,40k,0: 0.54952; 1: 0.54226; 2: 0.54343,0.54507,0.00390,standard
B1,LM-free reference,none,BEST_ON_DEVELOPMENT,250k,0: 0.58841; 1: 0.59749; 2: 0.59593,0.59394,0.00486,standard
B2,matched-random readout,135M,FIXED_EPOCH_22,40k,0: 0.53215; 1: 0.53656; 2: 0.53306,0.53392,0.00233,standard
B2,matched-random readout,135M,FIXED_EPOCH_22,250k,0: 0.59593; 1: 0.60021; 2: 0.60643,0.60086,0.00528,standard
B3,pretrained readout,135M,FIXED_EPOCH_22,40k,0: 0.53124; 1: 0.47783; 2: 0.51880,0.50929,0.02795,high
B3,pretrained readout,135M,FIXED_EPOCH_22,250k,0: 0.59826; 1: 0.59697; 2: 0.59308,0.59610,0.00270,standard
B4r,matched-random readout,360M,FIXED_EPOCH_22,40k,0: 0.53474; 1: 0.52787; 2: 0.53695,0.53319,0.00473,standard
B4r,matched-random readout,360M,FIXED_EPOCH_22,250k,0: 0.59256; 1: 0.59774; 2: 0.59904,0.59645,0.00343,standard
B4,pretrained readout,360M,FIXED_EPOCH_22,40k,0: 0.52515; 1: 0.53150; 2: 0.52243,0.52636,0.00466,standard
B4,pretrained readout,360M,FIXED_EPOCH_22,250k,0: 0.60215; 1: 0.58556; 2: 0.59450,0.59407,0.00831,standard
