kind,slice,n,gap,ci_low,ci_high,excludes_zero
structural,verify,2030,0.04138,0.02039,0.06237,True
structural,query,3104,0.00129,-0.01199,0.01457,False
structural,choose,1042,-0.01631,-0.0435,0.01087,False
structural,logical,1236,0.04045,0.01448,0.06642,True
structural,compare,302,-0.04305,-0.09838,0.01228,False
semantic,obj,1170,0.03932,0.0127,0.06593,True
semantic,attr,2964,-0.00439,-0.02081,0.01204,False
semantic,cat,439,0.00456,-0.02705,0.03616,False
semantic,rel,2978,0.02552,0.01037,0.04068,True
semantic,global,163,-0.0184,-0.06806,0.03125,False
