kind,slice,n,prior_accuracy,question_only_lift,concat_lift,fusion_lift
structural,verify,2030,0.50985,0.0133,0.01182,0.0532
structural,query,3104,0.07893,0.23872,0.39659,0.39787
structural,choose,1042,0.27831,0.2524,0.29943,0.28311
structural,logical,1236,0.52751,0.08171,0.05097,0.09142
structural,compare,302,0.4404,0.17549,0.149,0.10596
semantic,obj,1170,0.51709,0.09659,0.08291,0.12223
semantic,attr,2964,0.19433,0.26012,0.26923,0.26485
semantic,cat,439,0.05467,0.20046,0.51025,0.51481
semantic,rel,2978,0.19241,0.23607,0.33647,0.36199
semantic,global,163,0.21472,0.31902,0.58896,0.57056
steps,<=2,2400,0.20917,0.28083,0.325,0.33541
steps,3,3330,0.14625,0.25285,0.35165,0.35645
steps,4,870,0.27356,0.13678,0.23219,0.25862
steps,>=5,1114,0.51616,0.09246,0.06732,0.10682
