kind,slice,n,question_only,image_only,concat,fusion,fusion_narrow,product_576k,difference_576k,zero_shot_photo
structural,verify,2030,0.52315,0.45074,0.52167,0.56305,0.56355,0.53793,0.55172,0.01429
structural,query,3104,0.31765,0.05348,0.47552,0.4768,0.47938,0.48099,0.48293,0.16688
structural,choose,1042,0.53071,0.01344,0.57774,0.56142,0.54031,0.5691,0.54894,0.04415
structural,logical,1236,0.60922,0.47492,0.57848,0.61893,0.60761,0.59951,0.60518,0.01133
structural,compare,302,0.61589,0.41722,0.5894,0.54636,0.56291,0.57616,0.58609,0.01987
semantic,obj,1170,0.61368,0.47692,0.6,0.63932,0.63248,0.62051,0.62479,0.01368
semantic,attr,2964,0.45445,0.17206,0.46356,0.45918,0.45951,0.46727,0.46525,0.01282
semantic,cat,439,0.25513,0.12073,0.56492,0.56948,0.58542,0.55581,0.54442,0.32118
semantic,rel,2978,0.42848,0.21961,0.52888,0.5544,0.54701,0.5413,0.54835,0.13499
semantic,global,163,0.53374,0.20245,0.80368,0.78528,0.78528,0.77301,0.82209,0.09816
steps,<=2,2400,0.49,0.19417,0.53417,0.54458,0.53833,0.53833,0.53583,0.045
steps,3,3330,0.3991,0.16877,0.4979,0.5027,0.50661,0.5039,0.51081,0.11652
steps,4,870,0.41034,0.3,0.50575,0.53218,0.52069,0.5092,0.51609,0.11494
steps,>=5,1114,0.60862,0.46589,0.58348,0.62298,0.614,0.61041,0.61041,0.01526
