model,scale,mean,std,min,max,seed_0,seed_1,seed_2,seed_3,seed_42
question_only,40k,0.45797,0.0029,0.45307,0.46072,0.45307,0.46072,0.45813,0.45904,0.45891
question_only,100k,0.48294,0.00151,0.48146,0.48509,0.48146,0.48172,0.4838,0.48263,0.48509
question_only,250k,0.49769,0.00439,0.49287,0.50402,0.50402,0.49287,0.49767,0.49948,0.49443
concat,40k,0.52398,0.00276,0.52126,0.52722,0.5223,0.5267,0.52722,0.52126,0.52243
concat,100k,0.55084,0.00201,0.54822,0.55289,0.55069,0.54965,0.54822,0.55289,0.55276
concat,250k,0.57861,0.00264,0.57648,0.58193,0.57661,0.577,0.58193,0.57648,0.58102
product_576k,40k,0.53355,0.00312,0.53059,0.53721,0.53072,0.5328,0.53721,0.53643,0.53059
product_576k,100k,0.56365,0.00223,0.56054,0.56637,0.56274,0.56352,0.56054,0.56637,0.56508
product_576k,250k,0.58242,0.00318,0.57921,0.58763,0.58271,0.57921,0.58763,0.58167,0.58089
fusion,40k,0.5384,0.00218,0.53617,0.54083,0.53617,0.54083,0.54045,0.53811,0.53643
fusion,100k,0.56308,0.00268,0.55847,0.56521,0.56365,0.56521,0.56339,0.55847,0.56469
fusion,250k,0.58226,0.00197,0.58037,0.58439,0.58439,0.58128,0.58089,0.58439,0.58037
