contrast_id,family,analysis_role,comparison_status,effect,ci95_image_clustered,excludes_zero,directional_rule_outcome,n_questions,n_unique_images,cluster_unit,n_resamples,rng_seed,training_seeds,across_training_seed_sd_ddof1,metric,analysis_status,source_artefact
E10/difference_in_differences,E10,PRIMARY,CLEAN_PAIRED_CONTROL,0.00445,-0.00709 0.01641,False,uncertain or mixed evidence,7714,768,represented development imageId,2000,0,0 1 2,0.01815,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/pretraining_effect/train_250k,E10,PRIMARY,CLEAN_PAIRED_CONTROL,-0.00238,-0.01071 0.00588,False,uncertain or mixed evidence,7714,768,represented development imageId,2000,0,0 1 2,0.01105,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/pretraining_effect/train_40k,E10,PRIMARY,CLEAN_PAIRED_CONTROL,-0.00683,-0.01508 0.00114,False,uncertain or mixed evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00939,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/scale_effect_B4,E10,PRIMARY,CLEAN_PAIRED_CONTROL,0.06771,0.058 0.07738,True,positive directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.01208,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/scale_effect_B4r,E10,PRIMARY,CLEAN_PAIRED_CONTROL,0.06326,0.05287 0.07296,True,positive directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00611,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E8A/A0p_minus_A1r/train_250k,E8A,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.06966,0.05951 0.0792,True,positive directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00481,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p_minus_A1r/train_40k,E8A,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.05004,0.04144 0.05864,True,positive directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00546,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1_minus_A0p/train_250k,E8A,SECONDARY,REPRESENTATION_CONFOUNDED,-0.0213,-0.02983 -0.01253,True,negative directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.0014,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1_minus_A0p/train_40k,E8A,SECONDARY,REPRESENTATION_CONFOUNDED,-0.01184,-0.01996 -0.00427,True,negative directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00143,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1_minus_A1r/train_250k,E8A,PRIMARY,CLEAN_PAIRED_CONTROL,0.04835,0.03935 0.05803,True,positive directional evidence,7714,768,represented development imageId,2000,0,0 1 2,0.00345,G21 pinned normalised exact match,READ_FROM_SOURCE,results/experiments/e8a_question_encoder/core_analysis_g21.json
